                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4535,                 4.3714,                 4.4001,                0.00079,                0.11432,                0.00066,                0.00014,                 3.7631,                 4.1892,                 4.1599,             0.00020006,             0.00020006,             0.00020006
                      2,                 3.3653,                 4.2377,                 4.2258,                0.00084,                0.09509,                0.00083,                0.00023,                 3.7657,                 4.1948,                 4.1637,             0.00041236,             0.00041236,             0.00041236
                      3,                 3.1868,                 3.9731,                 4.0921,                 0.0006,                0.08654,                0.00082,                0.00031,                 3.7719,                 4.2031,                  4.174,             0.00062254,             0.00062254,             0.00062254
                      4,                  3.088,                 3.5688,                 3.8721,                0.00061,                0.09081,                0.00056,                0.00017,                  3.768,                 4.2303,                 4.1985,             0.00083059,             0.00083059,             0.00083059
                      5,                 2.9411,                 3.1828,                 3.5716,                0.00085,                0.08654,                0.00058,                0.00018,                 3.7561,                 4.2796,                   4.25,              0.0010365,              0.0010365,              0.0010365
                      6,                 2.8826,                 2.8594,                 3.2429,                 0.0036,                0.16667,                0.02178,                0.01072,                  3.522,                 4.1031,                 3.8566,              0.0012403,              0.0012403,              0.0012403
                      7,                 2.7859,                 2.5696,                 3.0097,                 0.0058,                0.32372,                0.01887,                0.00985,                  2.704,                 3.6838,                 3.0909,              0.0013866,              0.0013866,              0.0013866
                      8,                  2.637,                 2.3739,                 2.8125,                 0.0076,                0.34188,                0.02407,                0.01019,                 2.5683,                  3.653,                 3.0476,              0.0013795,              0.0013795,              0.0013795
                      9,                 2.5897,                 2.3292,                 2.7452,                0.42329,                0.05979,                0.02138,                0.00953,                 2.3787,                 3.5535,                 2.8939,              0.0013724,              0.0013724,              0.0013724
                     10,                 2.5161,                 2.2558,                 2.6234,                0.48957,                0.05876,                0.07453,                0.03499,                 2.3545,                 3.5372,                  2.709,              0.0013653,              0.0013653,              0.0013653
                     11,                 2.3918,                  2.138,                 2.5706,                0.05758,                0.03846,                0.08101,                0.02907,                 2.2849,                 3.4853,                 2.8538,              0.0013583,              0.0013583,              0.0013583
                     12,                 2.3699,                 2.0253,                 2.4618,                0.09964,                0.10684,                0.03782,                0.01581,                 2.1519,                 3.4818,                  2.367,              0.0013512,              0.0013512,              0.0013512
                     13,                 2.3342,                 2.0053,                  2.445,                0.24278,                0.11828,                0.10361,                0.05231,                 2.0749,                 3.6221,                 2.2403,              0.0013441,              0.0013441,              0.0013441
                     14,                 2.2044,                 1.9371,                 2.3347,                0.16855,                0.15088,                0.14423,                0.07314,                 1.9786,                 3.5403,                 2.0738,               0.001337,               0.001337,               0.001337
                     15,                 2.0681,                 1.7781,                   2.22,                0.09928,                0.13889,                0.06314,                  0.028,                 1.9992,                 3.9915,                 2.0823,                0.00133,                0.00133,                0.00133
                     16,                 2.0629,                  1.775,                 2.2258,                0.32931,                0.18779,                0.17762,                0.10326,                 1.9324,                 3.7645,                  2.039,              0.0013229,              0.0013229,              0.0013229
                     17,                  1.987,                 1.6934,                 2.1349,                 0.1649,                0.21902,                0.17009,                0.06089,                  1.858,                 3.9554,                  1.983,              0.0013158,              0.0013158,              0.0013158
                     18,                 1.9108,                  1.715,                 2.1231,                 0.3254,                0.22863,                0.21762,                0.10767,                 1.8316,                 3.7899,                 1.9707,              0.0013087,              0.0013087,              0.0013087
                     19,                 1.8609,                 1.5523,                 2.0262,                 0.1473,                0.18803,                0.11254,                0.05976,                 1.7945,                 4.1559,                 1.9259,              0.0013017,              0.0013017,              0.0013017
                     20,                 1.8194,                 1.5382,                 2.0528,                0.25392,                0.20406,                0.20406,                0.09935,                 1.8183,                 4.0911,                 1.9293,              0.0012946,              0.0012946,              0.0012946
                     21,                 1.7974,                 1.4748,                 1.9451,                0.29372,                0.21688,                0.23093,                0.13165,                 1.8471,                 3.5879,                 1.8551,              0.0012875,              0.0012875,              0.0012875
                     22,                 1.8128,                 1.4669,                 1.9497,                0.13856,                0.23825,                0.17834,                 0.1004,                 1.7837,                 3.6313,                 1.8527,              0.0012805,              0.0012805,              0.0012805
                     23,                 1.7558,                 1.3932,                 1.9102,                0.19224,                0.16294,                0.14885,                0.08363,                 1.8181,                 3.5859,                 1.8763,              0.0012734,              0.0012734,              0.0012734
                     24,                 1.7562,                  1.397,                 1.9051,                 0.2595,                0.25427,                0.22359,                0.11388,                 1.7296,                 3.7423,                 1.8218,              0.0012663,              0.0012663,              0.0012663
                     25,                 1.7601,                 1.3833,                 1.8876,                0.23939,                0.25168,                0.20732,                0.10864,                 1.6671,                 3.9092,                 1.7925,              0.0012592,              0.0012592,              0.0012592
                     26,                 1.7328,                 1.3763,                 1.8954,                0.21489,                 0.2094,                0.18336,                0.10071,                 1.6898,                 3.9175,                 1.7977,              0.0012522,              0.0012522,              0.0012522
                     27,                 1.7012,                 1.2977,                 1.7776,                0.15425,                0.17201,                0.16029,                0.09981,                 1.6929,                 3.6765,                 1.7682,              0.0012451,              0.0012451,              0.0012451
                     28,                 1.7152,                  1.306,                 1.8299,                0.23834,                0.18803,                0.19257,                0.10873,                 1.6886,                 3.7775,                 1.7731,               0.001238,               0.001238,               0.001238
                     29,                 1.6513,                 1.2749,                 1.8386,                0.16746,                0.19551,                0.15053,                0.08191,                 1.7802,                 3.9283,                 1.8155,              0.0012309,              0.0012309,              0.0012309
                     30,                 1.6454,                 1.2771,                 1.8202,                0.31102,                0.25427,                 0.2235,                 0.1076,                 1.6086,                 3.6127,                 1.6828,              0.0012239,              0.0012239,              0.0012239
                     31,                 1.5859,                 1.2099,                 1.7306,                 0.2904,                0.18886,                0.22978,                0.12631,                 1.6982,                 3.5762,                 1.7404,              0.0012168,              0.0012168,              0.0012168
                     32,                 1.6857,                  1.326,                 1.8098,                0.19836,                0.23184,                0.19227,                0.10491,                 1.6899,                  3.761,                 1.7206,              0.0012097,              0.0012097,              0.0012097
