,seq2,seq3,seq4,seq6,seq7,seq9,seq10,seq11,seq12,seq14,seq15,seq1,seq5,seq16
bipolar_forceps-Idle,15.0,27.0,26.0,61.0,96.0,51.0,58.0,85.0,,95.0,50.0,104.0,39.0,118.0
prograsp_forceps-Tissue_Manipulation,109.0,25.0,143.0,,56.0,,,,44.0,5.0,,80.0,27.0,
large_needle_driver-Idle,31.0,,9.0,,,,,,,,,,,
bipolar_forceps-left-bottom,20.0,14.0,55.0,34.0,51.0,9.0,,108.0,,56.0,3.0,85.0,30.0,64.0
prograsp_forceps-right-top,37.0,,10.0,,41.0,,,,0.0,82.0,,,12.0,
large_needle_driver-right-bottom,10.0,,14.0,,,,,,,,,,,
prograsp_forceps-right-bottom,66.0,,0.0,,57.0,,,,,54.0,,,32.0,
bipolar_forceps-Looping,75.0,,,,,,,,,,,,,
bipolar_forceps-left-top,76.0,89.0,86.0,85.0,88.0,66.0,136.0,27.0,,87.0,135.0,37.0,116.0,68.0
large_needle_driver-Tool_Manipulation,3.0,,5.0,,,,,,,,,,,
large_needle_driver-right-top,86.0,,6.0,,,,,,,,,,,
large_needle_driver-Looping,46.0,,,,,,,,,,,,,
bipolar_forceps-Tissue_Manipulation,9.0,11.0,105.0,1.0,36.0,3.0,1.0,19.0,,11.0,5.0,15.0,108.0,20.0
clip_applier-Idle,15.0,,,,,,,,,,,9.0,,
clip_applier-left-top,20.0,,,,,,,,,,,,,
prograsp_forceps-Idle,24.0,6.0,,33.0,38.0,,,,76.0,69.0,,12.0,10.0,
monopolar_curved_scissors-Idle,18.0,94.0,25.0,73.0,,72.0,79.0,69.0,52.0,,70.0,63.0,29.0,41.0
prograsp_forceps-left-bottom,24.0,11.0,,28.0,,,,,81.0,0.0,,45.0,,
monopolar_curved_scissors-right-top,9.0,65.0,92.0,29.0,,73.0,133.0,55.0,56.0,,115.0,45.0,81.0,95.0
clip_applier-right-top,9.0,,,,,,,,,,,1.0,,
large_needle_driver-Tissue_Manipulation,14.0,,,,,,,,,,,,,
monopolar_curved_scissors-right-bottom,9.0,23.0,29.0,22.0,,,2.0,76.0,79.0,,,86.0,51.0,49.0
clip_applier-Clipping,14.0,,,,,,,,,,,3.0,,
prograsp_forceps-left-top,4.0,21.0,131.0,4.0,,,,,59.0,6.0,,80.0,,
monopolar_curved_scissors-Tissue_Manipulation,0.0,12.0,0.0,8.0,,,,4.0,2.0,,1.0,11.0,3.0,
bipolar_forceps-right-top,3.0,,,0.0,3.0,54.0,11.0,,,,,,0.0,11.0
suction-Tissue_Manipulation,,11.0,,7.0,32.0,,,,,,,4.0,1.0,
suction-right-top,,12.0,14.0,11.0,8.0,,,,,,,29.0,44.0,
bipolar_forceps-Retraction,,57.0,7.0,52.0,0.0,62.0,79.0,28.0,,,71.0,,,4.0
monopolar_curved_scissors-Cauterization,,11.0,,,,0.0,,,,,,34.0,2.0,10.0
monopolar_curved_scissors-left-top,,34.0,0.0,58.0,,48.0,8.0,,2.0,,31.0,3.0,,0.0
monopolar_curved_scissors-left-bottom,,3.0,,12.0,,3.0,,,0.0,,,,,
prograsp_forceps-Retraction,,0.0,,,1.0,,,,11.0,,,32.0,,
bipolar_forceps-Grasping,,6.0,,4.0,0.0,13.0,7.0,1.0,,,10.0,2.0,,0.0
monopolar_curved_scissors-Retraction,,1.0,,,,,,,,,,,,
monopolar_curved_scissors-Cutting,,6.0,96.0,41.0,,52.0,65.0,57.0,84.0,,74.0,25.0,96.0,93.0
suction-Idle,,0.0,27.0,5.0,4.0,0.0,,,,,,11.0,32.0,
suction-Suction,,,59.0,,,,,,,,,13.0,50.0,
suction-left-top,,,72.0,1.0,27.0,0.0,,,,,,0.0,18.0,
bipolar_forceps-Tool_Manipulation,,,1.0,,8.0,,,,,36.0,,,,
large_needle_driver-Suturing,,,5.0,,,,,,,,,,,
stapler-Idle,,,,,85.0,,,,,,,,,
stapler-right-top,,,,,112.0,,,,,,,,,
stapler-left-top,,,,,1.0,,,,,,,,,
stapler-Staple,,,,,12.0,,,,,,,,,
stapler-right-bottom,,,,,15.0,,,,,,,,,
stapler-Clipping,,,,,25.0,,,,,,,,,
stapler-Tissue_Manipulation,,,,,5.0,,,,,,,,,
prograsp_forceps-Grasping,,,,,1.0,,,,8.0,,,,,
suction-left-bottom,,,,,0.0,,,,,,,,,
bipolar_forceps-right-bottom,,,,,,0.0,,,,,,,,
ultrasound_probe-Ultrasound_Sensing,,,,,,,,,,71.0,,,19.0,
ultrasound_probe-left-top,,,,,,,,,,75.0,,,,
prograsp_forceps-Tool_Manipulation,,,,,,,,,,69.0,,,6.0,
ultrasound_probe-right-top,,,,,,,,,,60.0,,,,
ultrasound_probe-Idle,,,,,,,,,,68.0,,,,
ultrasound_probe-right-bottom,,,,,,,,,,3.0,,,19.0,
clip_applier-right-bottom,,,,,,,,,,,,11.0,,
suction-right-bottom,,,,,,,,,,,,,21.0,
